Date,Holiday
1/1/13,New Year's Day
21/1/13,"Martin Luther King, Jr. Day"
14/2/13,Valentine's Day
18/2/13,Washington's Birthday
31/3/13,Western Easter
5/5/13,Eastern Easter
27/5/13,Memorial Day
19/6/13,Juneteenth
4/7/13,4th of July
31/8/13,Labor Day Weekend
1/9/13,Labor Day Weekend
2/9/13,Labor Day
14/10/13,Columbus Day
11/11/13,Singles Day
11/11/13,Veterans Day
27/11/13,Thanksgiving Eve
28/11/13,Thanksgiving Day
29/11/13,Black Friday
2/12/13,Cyber Monday
24/12/13,Christmas Eve
25/12/13,Christmas Day
31/12/13,New Year Eve
1/1/14,New Year's Day
20/1/14,"Martin Luther King, Jr. Day"
14/2/14,Valentine's Day
17/2/14,Washington's Birthday
20/4/14,Eastern Easter
20/4/14,Western Easter
26/5/14,Memorial Day
19/6/14,Juneteenth
4/7/14,4th of July
30/8/14,Labor Day Weekend
31/8/14,Labor Day Weekend
1/9/14,Labor Day
13/10/14,Columbus Day
11/11/14,Singles Day
11/11/14,Veterans Day
26/11/14,Thanksgiving Eve
27/11/14,Thanksgiving Day
28/11/14,Black Friday
1/12/14,Cyber Monday
24/12/14,Christmas Eve
25/12/14,Christmas Day
31/12/14,New Year Eve
1/1/15,New Year's Day
19/1/15,"Martin Luther King, Jr. Day"
14/2/15,Valentine's Day
16/2/15,Washington's Birthday
5/4/15,Western Easter
12/4/15,Eastern Easter
25/5/15,Memorial Day
19/6/15,Juneteenth
4/7/15,4th of July
5/9/15,Labor Day Weekend
6/9/15,Labor Day Weekend
7/9/15,Labor Day
12/10/15,Columbus Day
11/11/15,Singles Day
11/11/15,Veterans Day
25/11/15,Thanksgiving Eve
26/11/15,Thanksgiving Day
27/11/15,Black Friday
30/11/15,Cyber Monday
24/12/15,Christmas Eve
25/12/15,Christmas Day
31/12/15,New Year Eve
1/1/16,New Year's Day
18/1/16,"Martin Luther King, Jr. Day"
14/2/16,Valentine's Day
15/2/16,Washington's Birthday
27/3/16,Western Easter
1/5/16,Eastern Easter
30/5/16,Memorial Day
19/6/16,Juneteenth
4/7/16,4th of July
3/9/16,Labor Day Weekend
4/9/16,Labor Day Weekend
5/9/16,Labor Day
10/10/16,Columbus Day
11/11/16,Singles Day
11/11/16,Veterans Day
23/11/16,Thanksgiving Eve
24/11/16,Thanksgiving Day
25/11/16,Black Friday
28/11/16,Cyber Monday
24/12/16,Christmas Eve
25/12/16,Christmas Day
31/12/16,New Year Eve
1/1/17,New Year's Day
16/1/17,"Martin Luther King, Jr. Day"
14/2/17,Valentine's Day
20/2/17,Washington's Birthday
16/4/17,Eastern Easter
16/4/17,Western Easter
29/5/17,Memorial Day
19/6/17,Juneteenth
4/7/17,4th of July
2/9/17,Labor Day Weekend
3/9/17,Labor Day Weekend
4/9/17,Labor Day
9/10/17,Columbus Day
11/11/17,Singles Day
11/11/17,Veterans Day
22/11/17,Thanksgiving Eve
23/11/17,Thanksgiving Day
24/11/17,Black Friday
27/11/17,Cyber Monday
24/12/17,Christmas Eve
25/12/17,Christmas Day
31/12/17,New Year Eve